id,name,lat,lon,address,size,district,pop_time_Monday_0,pop_time_Monday_1,pop_time_Monday_2,pop_time_Monday_3,pop_time_Monday_4,pop_time_Monday_5,pop_time_Monday_6,pop_time_Monday_7,pop_time_Monday_8,pop_time_Monday_9,pop_time_Monday_10,pop_time_Monday_11,pop_time_Monday_12,pop_time_Monday_13,pop_time_Monday_14,pop_time_Monday_15,pop_time_Monday_16,pop_time_Monday_17,pop_time_Monday_18,pop_time_Monday_19,pop_time_Monday_20,pop_time_Monday_21,pop_time_Monday_22,pop_time_Monday_23,pop_time_Tuesday_0,pop_time_Tuesday_1,pop_time_Tuesday_2,pop_time_Tuesday_3,pop_time_Tuesday_4,pop_time_Tuesday_5,pop_time_Tuesday_6,pop_time_Tuesday_7,pop_time_Tuesday_8,pop_time_Tuesday_9,pop_time_Tuesday_10,pop_time_Tuesday_11,pop_time_Tuesday_12,pop_time_Tuesday_13,pop_time_Tuesday_14,pop_time_Tuesday_15,pop_time_Tuesday_16,pop_time_Tuesday_17,pop_time_Tuesday_18,pop_time_Tuesday_19,pop_time_Tuesday_20,pop_time_Tuesday_21,pop_time_Tuesday_22,pop_time_Tuesday_23,pop_time_Wednesday_0,pop_time_Wednesday_1,pop_time_Wednesday_2,pop_time_Wednesday_3,pop_time_Wednesday_4,pop_time_Wednesday_5,pop_time_Wednesday_6,pop_time_Wednesday_7,pop_time_Wednesday_8,pop_time_Wednesday_9,pop_time_Wednesday_10,pop_time_Wednesday_11,pop_time_Wednesday_12,pop_time_Wednesday_13,pop_time_Wednesday_14,pop_time_Wednesday_15,pop_time_Wednesday_16,pop_time_Wednesday_17,pop_time_Wednesday_18,pop_time_Wednesday_19,pop_time_Wednesday_20,pop_time_Wednesday_21,pop_time_Wednesday_22,pop_time_Wednesday_23,pop_time_Thursday_0,pop_time_Thursday_1,pop_time_Thursday_2,pop_time_Thursday_3,pop_time_Thursday_4,pop_time_Thursday_5,pop_time_Thursday_6,pop_time_Thursday_7,pop_time_Thursday_8,pop_time_Thursday_9,pop_time_Thursday_10,pop_time_Thursday_11,pop_time_Thursday_12,pop_time_Thursday_13,pop_time_Thursday_14,pop_time_Thursday_15,pop_time_Thursday_16,pop_time_Thursday_17,pop_time_Thursday_18,pop_time_Thursday_19,pop_time_Thursday_20,pop_time_Thursday_21,pop_time_Thursday_22,pop_time_Thursday_23,pop_time_Friday_0,pop_time_Friday_1,pop_time_Friday_2,pop_time_Friday_3,pop_time_Friday_4,pop_time_Friday_5,pop_time_Friday_6,pop_time_Friday_7,pop_time_Friday_8,pop_time_Friday_9,pop_time_Friday_10,pop_time_Friday_11,pop_time_Friday_12,pop_time_Friday_13,pop_time_Friday_14,pop_time_Friday_15,pop_time_Friday_16,pop_time_Friday_17,pop_time_Friday_18,pop_time_Friday_19,pop_time_Friday_20,pop_time_Friday_21,pop_time_Friday_22,pop_time_Friday_23,pop_time_Saturday_0,pop_time_Saturday_1,pop_time_Saturday_2,pop_time_Saturday_3,pop_time_Saturday_4,pop_time_Saturday_5,pop_time_Saturday_6,pop_time_Saturday_7,pop_time_Saturday_8,pop_time_Saturday_9,pop_time_Saturday_10,pop_time_Saturday_11,pop_time_Saturday_12,pop_time_Saturday_13,pop_time_Saturday_14,pop_time_Saturday_15,pop_time_Saturday_16,pop_time_Saturday_17,pop_time_Saturday_18,pop_time_Saturday_19,pop_time_Saturday_20,pop_time_Saturday_21,pop_time_Saturday_22,pop_time_Saturday_23,pop_time_Sunday_0,pop_time_Sunday_1,pop_time_Sunday_2,pop_time_Sunday_3,pop_time_Sunday_4,pop_time_Sunday_5,pop_time_Sunday_6,pop_time_Sunday_7,pop_time_Sunday_8,pop_time_Sunday_9,pop_time_Sunday_10,pop_time_Sunday_11,pop_time_Sunday_12,pop_time_Sunday_13,pop_time_Sunday_14,pop_time_Sunday_15,pop_time_Sunday_16,pop_time_Sunday_17,pop_time_Sunday_18,pop_time_Sunday_19,pop_time_Sunday_20,pop_time_Sunday_21,pop_time_Sunday_22,pop_time_Sunday_23
ChIJeRNG7a1XzpQRUe3coLqlwnU,Pão de Açúcar,-23.5925362,-46.6771633,"R. Clodomiro Amazonas, 955 - Vila Nova Conceição, São Paulo - SP, 04537-002, Brazil",medio,itaim bibi,0,0,0,0,0,0,0,20,35,53,70,83,88,84,74,66,65,71,76,71,58,39,19,0,0,0,0,0,0,0,0,16,37,55,68,80,88,84,75,68,66,65,61,52,40,28,17,0,0,0,0,0,0,0,0,16,28,43,59,72,78,76,67,55,47,48,55,59,52,36,18,0,0,0,0,0,0,0,0,20,35,49,64,80,91,89,76,65,65,75,82,77,59,36,17,0,0,0,0,0,0,0,0,22,37,55,74,90,99,100,92,81,74,75,81,82,70,48,25,0,0,0,0,0,0,0,0,18,36,57,71,77,78,77,74,70,69,71,72,68,56,38,22,0,0,0,0,0,0,0,0,7,17,35,56,74,81,76,65,61,68,71,66,64,62,47,23,0
ChIJMdGetkJXzpQR8hnTOn4V72E,Horti Sabor,-23.58416,-46.680511,"Rua Tabapuã, 1026 - Itaim Bibi, São Paulo - SP, 04533-003, Brazil",medio,itaim bibi,0,0,0,0,0,0,0,37,55,67,79,92,100,93,76,61,55,58,60,54,0,0,0,0,0,0,0,0,0,0,0,43,70,80,84,90,91,82,71,63,58,54,47,37,0,0,0,0,0,0,0,0,0,0,0,29,47,59,61,63,67,69,62,53,49,50,49,40,0,0,0,0,0,0,0,0,0,0,0,37,59,62,64,81,94,88,71,60,58,59,56,46,0,0,0,0,0,0,0,0,0,0,0,42,57,67,77,85,86,78,68,61,59,56,51,40,0,0,0,0,0,0,0,0,0,0,0,12,21,31,41,48,50,48,42,38,37,38,37,31,0,0,0,0,0,0,0,0,0,0,0,7,15,26,35,41,41,38,36,38,42,42,37,31,0,0,0,0
ChIJj7y2Q4JXzpQRqNOnQHamkgw,Pão de Açúcar,-23.5773214,-46.68783519999999,"Av. Brg. Faria Lima, 2232 - Jardim Paulista, São Paulo - SP, 01489-900, Brazil",medio,jardim paulista,0,0,0,0,0,0,0,0,44,70,52,55,64,66,64,61,61,64,67,65,55,41,0,0,0,0,0,0,0,0,0,0,33,50,54,58,71,84,89,84,73,61,49,40,32,24,0,0,0,0,0,0,0,0,0,0,24,35,46,56,62,63,60,56,51,49,46,43,36,27,0,0,0,0,0,0,0,0,0,0,46,61,52,53,73,82,71,59,60,66,69,64,53,38,0,0,0,0,0,0,0,0,0,0,32,52,63,73,90,100,93,79,74,79,84,78,62,40,0,0,0,0,0,0,0,0,0,0,16,28,43,59,72,81,84,83,84,88,86,67,62,58,0,0,0,0,0,0,0,0,0,0,0,12,25,43,65,85,97,99,95,93,92,73,38,0,0,0
ChIJHapGrFlXzpQRrRMzI2eirRY,Sam's Club Morumbi,-23.58687,-46.7230154,"Av. Prof. Francisco Morato, 2585 - Butanta, São Paulo - SP, 05513-300, Brazil",grande,morumbi,0,0,0,0,0,0,0,0,7,15,25,32,34,39,46,48,45,46,53,50,0,0,0,0,0,0,0,0,0,0,0,0,12,23,34,41,43,40,38,37,38,39,38,33,0,0,0,0,0,0,0,0,0,0,0,0,7,12,18,23,27,31,33,33,33,36,40,36,0,0,0,0,0,0,0,0,0,0,0,0,9,18,27,34,35,36,39,41,41,43,49,50,0,0,0,0,0,0,0,0,0,0,0,0,10,21,33,41,42,42,44,49,54,56,56,50,0,0,0,0,0,0,0,0,0,0,0,0,18,34,56,76,89,90,86,86,93,100,95,75,0,0,0,0,0,0,0,0,0,0,0,0,0,23,48,71,78,71,68,72,73,72,70,51,0,0,0,0
ChIJqw-SpvFWzpQROa316Af9qUE,Pão de Açúcar,-23.586217,-46.7214582,"Av. Prof. Francisco Morato, 2385 - Butantã, São Paulo - SP, 05513-300, Brazil",medio,butanta,0,0,0,0,0,0,0,36,65,80,74,56,45,43,47,50,52,53,58,65,69,61,43,22,0,0,0,0,0,0,0,51,74,87,85,73,61,53,50,49,46,41,37,36,39,36,22,8,0,0,0,0,0,0,0,34,59,71,63,52,48,50,52,52,51,50,51,50,45,34,22,10,0,0,0,0,0,0,0,49,75,86,79,68,63,61,58,53,49,48,50,53,50,41,29,16,0,0,0,0,0,0,0,35,73,98,88,60,43,42,49,56,60,60,60,64,71,68,50,26,0,0,0,0,0,0,0,31,62,90,100,88,69,57,56,58,58,55,54,60,67,63,45,23,0,0,0,0,0,0,0,24,41,58,68,69,64,58,54,55,58,61,62,59,51,38,24,0
ChIJzRnX4p5XzpQRuSInjP62mq0,Pão de Açúcar,-23.5640183,-46.686986,"R. Teodoro Sampaio, 1933 - Pinheiros, São Paulo - SP, 05405-200, Brazil",medio,pinheiros,0,0,0,0,0,0,11,27,42,49,53,61,70,72,68,65,68,76,82,79,67,50,31,16,0,0,0,0,0,0,0,0,34,35,42,53,61,62,58,56,58,63,66,63,54,40,26,14,0,0,0,0,0,0,13,25,34,39,44,50,54,52,47,43,45,53,63,68,64,51,35,20,0,0,0,0,0,0,20,45,55,53,58,70,75,71,64,62,67,77,85,84,74,56,37,21,0,0,0,0,0,0,25,48,54,53,63,78,88,90,85,79,78,84,94,100,93,75,51,28,0,0,0,0,0,0,12,23,38,56,73,85,91,91,88,87,89,90,85,78,77,79,68,39,0,0,0,0,0,0,0,14,28,46,64,77,81,78,71,69,75,83,86,85,77,52,22,0
ChIJA-hBFIRXzpQRx-yH166EsA4,DIA Supermercado,-23.5569503,-46.676334,"R. Teodoro Sampaio, 599 - Pinheiros, São Paulo - SP, 05405-050, Brazil",medio,pinheiros,0,0,0,0,0,0,0,0,46,86,98,76,56,56,64,71,72,66,56,83,63,0,0,0,0,0,0,0,0,0,0,0,36,67,91,95,82,69,66,70,75,74,65,53,38,0,0,0,0,0,0,0,0,0,0,0,40,61,60,44,33,33,36,34,34,42,51,46,26,0,0,0,0,0,0,0,0,0,0,0,50,67,66,56,55,60,53,38,38,64,93,84,44,0,0,0,0,0,0,0,0,0,0,0,62,81,82,71,67,75,84,85,73,54,65,100,37,0,0,0,0,0,0,0,0,0,0,0,14,26,41,53,57,53,47,43,39,38,45,55,43,0,0,0,0,0,0,0,0,0,0,0,10,28,46,53,55,59,58,50,46,52,58,46,23,0,0,0
ChIJT5hh3YFXzpQRl4w5__cW2ng,Pão de Açúcar,-23.5612387,-46.67407629999999,"R. Alves Guimarães, 50 - Pinheiros, São Paulo - SP, 05401-000, Brazil",medio,pinheiros,0,0,0,0,0,0,0,25,49,56,48,46,56,64,60,50,49,66,91,100,81,47,0,0,0,0,0,0,0,0,0,32,64,77,73,75,82,83,75,66,63,69,76,74,58,35,0,0,0,0,0,0,0,0,0,35,48,53,51,51,55,57,54,47,44,50,60,65,55,36,0,0,0,0,0,0,0,0,0,45,64,71,70,74,83,85,74,60,56,67,82,81,59,32,0,0,0,0,0,0,0,0,0,31,57,76,78,69,63,64,68,71,70,71,82,94,82,47,0,0,0,0,0,0,0,0,0,16,30,47,60,69,73,71,65,61,64,74,81,75,56,32,0,0,0,0,0,0,0,0,0,12,21,33,47,60,70,74,70,62,55,62,77,70,39,0,0,0
ChIJp3SsnoZXzpQR-PV6US6AyeU,Luzita Indústria e Comércio,-23.556271,-46.6751217,"Rua Oscar Freire, 1853 - Pinheiros, São Paulo - SP, 05409-011, Brazil",medio,pinheiros,0,0,0,0,0,0,0,28,57,70,67,75,94,100,82,57,45,56,74,76,55,27,0,0,0,0,0,0,0,0,0,41,59,58,60,77,90,82,62,50,56,71,77,66,43,20,0,0,0,0,0,0,0,0,0,51,41,27,41,58,69,71,63,50,42,50,68,73,53,23,0,0,0,0,0,0,0,0,0,44,62,55,51,69,92,95,75,50,42,56,75,76,54,25,0,0,0,0,0,0,0,0,0,77,75,27,43,76,99,97,73,46,38,52,72,76,56,27,0,0,0,0,0,0,0,0,0,14,34,49,52,55,70,85,84,65,45,42,48,46,31,12,0,0,0,0,0,0,0,0,0,0,17,33,49,62,66,59,45,33,36,55,67,51,0,0,0,0
ChIJrypQ5C9XzpQRCsHt1UzruFM,DIA Supermercado,-23.5531218,-46.690192,"R. Purpurina, 170 - Sumarezinho, São Paulo - SP, 05435-030, Brazil",medio,pinheiros,0,0,0,0,0,0,0,0,32,46,44,43,53,60,51,42,54,83,100,84,49,0,0,0,0,0,0,0,0,0,0,0,23,44,64,73,68,56,53,62,78,84,74,53,30,0,0,0,0,0,0,0,0,0,0,0,35,29,35,47,54,56,56,60,69,76,69,47,23,0,0,0,0,0,0,0,0,0,0,0,21,42,62,69,64,58,60,68,74,77,88,94,58,0,0,0,0,0,0,0,0,0,0,0,27,51,72,77,68,55,55,67,85,93,86,65,40,0,0,0,0,0,0,0,0,0,0,0,23,47,63,68,76,86,82,64,58,75,91,77,41,0,0,0,0,0,0,0,0,0,0,0,13,37,68,80,66,52,59,73,76,76,71,49,20,0,0,0
